mjd;mag;magerr
51818.35;19.949.256.896.972.600;0.0473259463906288
52173.32;20.227.514.266.967.700;0.0762449502944946
52207.37;20.025.074.005.126.900;0.0500569716095924
52224.3;20.102.277.755.737.300;0.0475783683359622
52225.26;2.023.188.781.738.280;0.0523102022707462
52231.28;2.016.181.755.065.910;0.0499569065868854
52234.25;20.172.590.255.737.300;0.0523605942726135
52261.22;2.014.934.730.529.780;0.0542268939316272
52282.15;20.226.993.560.791.000;0.0648327842354774
52287.1;2.018.503.189.086.910;0.0490895360708236
52288.1;2.030.200.958.251.950;0.0559438206255435
52522.4;2.024.478.530.883.780;0.049581341445446
52551.37;2.023.504.447.937.010;0.0513558387756347
52552.42;2.016.639.709.472.650;0.0596799179911613
52557.39;2.015.509.986.877.440;0.0602330975234508
52558.4;20.219.343.185.424.800;0.0461916886270046
52576.24;20.213.359.832.763.600;0.0495442375540733
52577.29;20.262.643.814.086.900;0.0477487184107303
52585.24;2.025.148.582.458.490;0.0471375845372676
52908.36;20.250.577.926.635.700;0.0608940497040748
52910.37;2.024.602.508.544.920;0.0559989437460899
52912.34;2.012.260.055.541.990;0.0604008398950099
52934.3;20.203.598.022.460.900;0.0653764978051185
52935.3;2.038.944.625.854.490;0.058410819619894
52936.29;20.239.511.489.868.100;0.0497231632471084
52963.22;2.034.957.695.007.320;0.0509890280663967
53270.36;1.999.121.856.689.450;0.0552266389131546
53286.37;1.998.592.567.443.840;0.0559189468622207
53288.33;20.018.796.920.776.300;0.0445442795753479
53296.33;1.996.718.978.881.830;0.0677361935377121
53298.38;19.928.640.365.600.500;0.0539641045033931
53302.33;1.980.884.552.001.950;0.0735350549221038
53312.28;2.003.616.523.742.670;0.0867576599121093
53314.29;1.999.277.687.072.750;0.0668932795524597
53351.15;2.009.665.298.461.910;0.0552140921354293
53622.4;20.095.407.485.961.900;0.0483258217573165
53628.35;19.816.844.940.185.500;0.0731240212917327
53637.35;1.982.530.975.341.790;0.0719446018338203
53638.39;19.933.000.564.575.100;0.0546759217977523
53639.4;1.982.666.015.625;0.0470144785940647
53640.36;19.975.908.279.418.900;0.0538387410342693
53641.4;1.997.464.942.932.120;0.0535413473844528
53646.42;206.611.328.125;0.0660138428211212
53655.33;19.956.228.256.225.500;0.041610263288021
53663.34;1.990.079.689.025.870;0.0885635241866111
53664.36;2.033.788.299.560.540;0.1100567504763603
53665.42;19.780.181.884.765.600;0.0772457048296928
53668.33;19.866.323.471.069.300;0.0601545833051204
53669.31;1.996.985.244.750.970;0.0413113646209239
53669.42;2.004.144.287.109.370;0.0941768437623977
53671.4;2.002.203.750.610.350;0.0726972073316574
53673.3;1.998.758.125.305.170;0.0452322885394096
53674.3;2.003.990.936.279.290;0.0653348490595817
53675.3;19.834.617.614.746.000;0.0480787828564643
53676.39;1.991.951.560.974.120;0.0476907640695571
53677.32;19.924.724.578.857.400;0.0468805357813835
53680.31;1.991.942.024.230.950;0.048521626740694
53681.35;2.002.109.146.118.160;0.0456248968839645
53693.31;19.962.417.602.539.000;0.1350165605545044
